,x,y
pinky_mcp,0.3992500305175781,0.5143368244171143
pinky_pip,0.3890519440174103,0.46290770173072815
pinky_dip,0.3840644955635071,0.42734241485595703
pinky_tip,0.382568359375,0.39240825176239014
wrist,0.4306834936141968,0.6292471289634705
thumb_cmc,0.48254501819610596,0.6001081466674805
thumb_mcp,0.5183491110801697,0.5521178245544434
thumb_ip,0.5423648953437805,0.5118434429168701
thumb_tip,0.5656921863555908,0.48695847392082214
index_finger_mcp,0.47901931405067444,0.44849276542663574
index_finger_pip,0.4912603199481964,0.386808305978775
index_finger_dip,0.5003026723861694,0.3446873426437378
index_finger_tip,0.5093692541122437,0.3065757155418396
middle_finger_mcp,0.45294690132141113,0.43910616636276245
middle_finger_pip,0.45594021677970886,0.3685990571975708
middle_finger_dip,0.4609328508377075,0.31987854838371277
middle_finger_tip,0.46751683950424194,0.27611663937568665
ring_finger_mcp,0.42789921164512634,0.4440493881702423
ring_finger_pip,0.42466506361961365,0.377511203289032
ring_finger_dip,0.4266205430030823,0.32898011803627014
ring_finger_tip,0.43060851097106934,0.28586289286613464
pinky_mcp,0.4032249450683594,0.46381980180740356
pinky_pip,0.39320358633995056,0.41075971722602844
pinky_dip,0.3882260322570801,0.3739894926548004
pinky_tip,0.38664090633392334,0.33952099084854126
wrist,0.43222776055336,0.5861772298812866
thumb_cmc,0.48206862807273865,0.5680400729179382
thumb_mcp,0.517673671245575,0.5209993124008179
thumb_ip,0.5401380062103271,0.4792284667491913
thumb_tip,0.5631093382835388,0.4572599232196808
index_finger_mcp,0.4805425703525543,0.41282275319099426
index_finger_pip,0.495161235332489,0.3466828167438507
index_finger_dip,0.5039885640144348,0.3034064769744873
index_finger_tip,0.51162189245224,0.2654777765274048
middle_finger_mcp,0.4544766843318939,0.40141361951828003
middle_finger_pip,0.46082407236099243,0.3236478567123413
middle_finger_dip,0.46589958667755127,0.27243465185165405
middle_finger_tip,0.47066929936408997,0.22799864411354065
ring_finger_mcp,0.4300056993961334,0.40574347972869873
